"Name ","Exp ","Operators","Data Type","What?"
"ASN","asn.dns","==, !=","mixed case string","GeoIP ASN string calculated from the IP from DNS result"
"ASN","asn.dns.mailserver","==, !=","mixed case string","GeoIP ASN string calculated from the IPs for mailservers"
"ASN","asn.dns.nameserver","==, !=","mixed case string","GeoIP ASN string calculated from the IPs for nameservers"
"Dst ASN","asn.dst","==, !=","mixed case string","GeoIP ASN string calculated from the destination IP"
"ASN","asn.email","==, !=","mixed case string","GeoIP ASN string calculated from the Email IP address"
"ASN","asn.socks","==, !=","mixed case string","GeoIP ASN string calculated from the SOCKS destination IP"
"Src ASN","asn.src","==, !=","mixed case string","GeoIP ASN string calculated from the source IP"
"XFF ASN","asn.xff","==, !=","mixed case string","GeoIP ASN string calculated from the X-Forwarded-For Header"
"Asset","asset","==, !=","lower case string","Asset name"
"Asset Cnt","asset.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Asset name"
"Type","bgp.type","==, !=","upper case string","BGP Type field"
"Bytes","bytes","<, <=, ==, >=, >, !=","integer","Total number of raw bytes sent AND received in a session"
"Dst Bytes","bytes.dst","<, <=, ==, >=, >, !=","integer","Total number of raw bytes sent by destination in a session"
"Src Bytes","bytes.src","<, <=, ==, >=, >, !=","integer","Total number of raw bytes sent by source in a session"
"Alt Name","cert.alt","==, !=","lower case string","Certificate alternative names"
"Alt Name Cnt","cert.alt.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Certificate alternative names"
"Cert Cnt","cert.cnt","<, <=, ==, >=, >, !=","integer","Count of certificates"
"Curve","cert.curve","==, !=","mixed case string","Curve Algorithm"
"Hash","cert.hash","==, !=","lower case string","SHA1 hash of entire certificate"
"Issuer CN","cert.issuer.cn","==, !=","lower case string","Issuer's common name"
"Issuer ON","cert.issuer.on","==, !=","mixed case string","Issuer's organization name"
"Not After","cert.notafter","","","Certificate is not valid after this date"
"Not Before","cert.notbefore","","","Certificate is not valid before this date"
"Public Algorithm","cert.publicAlgorithm","==, !=","mixed case string","Public Key Algorithm"
"Days remaining","cert.remainingDays","<, <=, ==, >=, >, !=","integer","Certificate is still valid for this many days"
"Serial Number","cert.serial","==, !=","lower case string","Serial Number"
"Subject CN","cert.subject.cn","==, !=","lower case string","Subject's common name"
"Subject ON","cert.subject.on","==, !=","mixed case string","Subject's organization name"
"Days Valid For","cert.validfor","<, <=, ==, >=, >, !=","integer","Certificate is valid for this many days total"
"Community Id","communityId","==, !=","mixed case string","Community id flow hash"
"GEO","country.dns","==, !=","upper case string","GeoIP country string calculated from the IP from DNS result"
"GEO","country.dns.mailserver","==, !=","upper case string","GeoIP country string calculated from the IPs for mailservers"
"GEO","country.dns.nameserver","==, !=","upper case string","GeoIP country string calculated from the IPs for nameservers"
"Dst Country","country.dst","==, !=","upper case string","Destination Country"
"GEO","country.email","==, !=","upper case string","GeoIP country string calculated from the Email IP address"
"GEO","country.socks","==, !=","upper case string","GeoIP country string calculated from the SOCKS destination IP"
"Src Country","country.src","==, !=","upper case string","Source Country"
"XFF GEO","country.xff","==, !=","upper case string","GeoIP country string calculated from the X-Forwarded-For Header"
"Data bytes","databytes","<, <=, ==, >=, >, !=","integer","Total number of data bytes sent AND received in a session"
"Dst data bytes","databytes.dst","<, <=, ==, >=, >, !=","integer","Total number of data bytes sent by destination in a session"
"Src data bytes","databytes.src","<, <=, ==, >=, >, !=","integer","Total number of data bytes sent by source in a session"
"Host","dhcp.host","==, !=","lower case string","DHCP Host"
"Host Cnt","dhcp.host.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DHCP Host"
"Hostname Tokens","dhcp.host.tokens","","","DHCP Hostname Tokens"
"Transaction id","dhcp.id","==, !=","lower case string","DHCP Transaction Id"
"Transaction id Cnt","dhcp.id.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DHCP Transaction Id"
"Client MAC","dhcp.mac","==, !=","lower case string","Client ethernet MAC"
"Client MAC Cnt","dhcp.mac.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Client ethernet MAC"
"Client OUI","dhcp.oui","==, !=","mixed case string","Client ethernet OUI"
"Client OUI Cnt","dhcp.oui.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Client ethernet OUI"
"Type","dhcp.type","==, !=","upper case string","DHCP Type"
"Type Cnt","dhcp.type.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DHCP Type"
"Op Code","dns.opcode","==, !=","upper case string","DNS lookup op code"
"Op Code Cnt","dns.opcode.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup op code"
"Puny","dns.puny","==, !=","lower case string","DNS lookup punycode"
"Puny Cnt","dns.puny.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup punycode"
"Query Class","dns.query.class","==, !=","upper case string","DNS lookup query class"
"Query Class Cnt","dns.query.class.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup query class"
"Query Type","dns.query.type","==, !=","upper case string","DNS lookup query type"
"Query Type Cnt","dns.query.type.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup query type"
"Status Code","dns.status","==, !=","upper case string","DNS lookup return code"
"Status Code Cnt","dns.status.cnt","<, <=, ==, >=, >, !=","integer","Unique number of DNS lookup return code"
"email.authorization","email.authorization","==, !=","mixed case string","Email header authorization"
"Body Magic","email.bodymagic","==, !=","mixed case string","The content type of body determined by libfile/magic"
"Body Magic Cnt","email.bodymagic.cnt","<, <=, ==, >=, >, !=","integer","Unique number of The content type of body determined by libfile/magic"
"Content-Type","email.content-type","==, !=","mixed case string","Email content-type header"
"Content-Type Cnt","email.content-type.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email content-type header"
"Receiver","email.dst","==, !=","lower case string","Email to address"
"Receiver Cnt","email.dst.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email to address"
"Attach Content-Type","email.file-content-type","==, !=","mixed case string","Email attachment content types"
"Attach Content-Type Cnt","email.file-content-type.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email attachment content types"
"Filenames","email.fn","==, !=","mixed case string","Email attachment filenames"
"Filenames Cnt","email.fn.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email attachment filenames"
"Header","email.has-header","==, !=","lower case string","Email has the header set"
"Header Cnt","email.has-header.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email has the header set"
"Header Value","email.has-header.value","==, !=","mixed case string","Email has the header value"
"Header Value Cnt","email.has-header.value.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email has the header value"
"Attach MD5s","email.md5","==, !=","mixed case string","Email attachment MD5s"
"Attach MD5s Cnt","email.md5.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email attachment MD5s"
"Id","email.message-id","==, !=","mixed case string","Email Message-Id header"
"Id Cnt","email.message-id.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email Message-Id header"
"Mime-Version","email.mime-version","==, !=","mixed case string","Email Mime-Header header"
"Mime-Version Cnt","email.mime-version.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email Mime-Header header"
"SMTP Hello","email.smtp-hello","==, !=","lower case string","SMTP HELO/EHLO"
"SMTP Hello Cnt","email.smtp-hello.cnt","<, <=, ==, >=, >, !=","integer","Unique number of SMTP HELO/EHLO"
"Sender","email.src","==, !=","lower case string","Email from address"
"Sender Cnt","email.src.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email from address"
"Subject","email.subject","==, !=","mixed case string","Email subject header"
"Subject Cnt","email.subject.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email subject header"
"X-Mailer Header","email.x-mailer","==, !=","mixed case string","Email X-Mailer header"
"X-Mailer Header Cnt","email.x-mailer.cnt","<, <=, ==, >=, >, !=","integer","Unique number of Email X-Mailer header"
"email.x-priority","email.x-priority","<, <=, ==, >=, >, !=","integer","Email header x-priority"
"Filename","file","","","Arkime offline pcap filename"
