Value,Flags
1,"FIN"
2,"SYN"
3,"FIN:SYN"
4,"RST"
5,"FIN:RST"
6,"RST:SYN"
7,"FIN:RST:SYN"
8,"PSH"
9,"FIN:PSH"
10,"PSH:SYN"
11,"FIN:PSH:SYN"
12,"PSH:RST"
13,"FIN:PSH:RST"
14,"PSH:RST:SYN"
15,"FIN:PSH:RST:SYN"
16,"ACK"
17,"ACK:FIN"
18,"ACK:SYN"
19,"ACK:FIN:SYN"
20,"ACK:RST"
21,"ACK:FIN:RST"
22,"ACK:RST:SYN"
23,"ACK:FIN:RST:SYN"
24,"ACK:PSH"
25,"ACK:FIN:PSH"
26,"ACK:PSH:SYN"
27,"ACK:FIN:PSH:SYN"
28,"ACK:PSH:RST"
29,"ACK:FIN:PSH:RST"
30,"ACK:PSH:RST:SYN"
31,"ACK:FIN:PSH:RST:SYN"
32,"URG"
33,"FIN:URG"
34,"SYN:URG"
35,"FIN:SYN:URG"
36,"RST:URG"
37,"FIN:RST:URG"
38,"RST:SYN:URG"
39,"FIN:RST:SYN:URG"
40,"PSH:URG"
41,"FIN:PSH:URG"
42,"PSH:SYN:URG"
43,"FIN:PSH:SYN:URG"
44,"PSH:RST:URG"
45,"FIN:PSH:RST:URG"
46,"PSH:RST:SYN:URG"
47,"FIN:PSH:RST:SYN:URG"
48,"ACK:URG"
49,"ACK:FIN:URG"
50,"ACK:SYN:URG"
51,"ACK:FIN:SYN:URG"
52,"ACK:RST:URG"
53,"ACK:FIN:RST:URG"
54,"ACK:RST:SYN:URG"
55,"ACK:FIN:RST:SYN:URG"
56,"ACK:PSH:URG"
57,"ACK:FIN:PSH:URG"
58,"ACK:PSH:SYN:URG"
59,"ACK:FIN:PSH:SYN:URG"
60,"ACK:PSH:RST:URG"
61,"ACK:FIN:PSH:RST:URG"
62,"ACK:PSH:RST:SYN:URG"
63,"ACK:FIN:PSH:RST:SYN:URG"
64,"ECE"
65,"ECE:FIN"
66,"ECE:SYN"
67,"ECE:FIN:SYN"
68,"ECE:RST"
69,"ECE:FIN:RST"
70,"ECE:RST:SYN"
71,"ECE:FIN:RST:SYN"
72,"ECE:PSH"
73,"ECE:FIN:PSH"
74,"ECE:PSH:SYN"
75,"ECE:FIN:PSH:SYN"
76,"ECE:PSH:RST"
77,"ECE:FIN:PSH:RST"
78,"ECE:PSH:RST:SYN"
79,"ECE:FIN:PSH:RST:SYN"
80,"ACK:ECE"
81,"ACK:ECE:FIN"
82,"ACK:ECE:SYN"
83,"ACK:ECE:FIN:SYN"
84,"ACK:ECE:RST"
85,"ACK:ECE:FIN:RST"
86,"ACK:ECE:RST:SYN"
87,"ACK:ECE:FIN:RST:SYN"
88,"ACK:ECE:PSH"
89,"ACK:ECE:FIN:PSH"
90,"ACK:ECE:PSH:SYN"
91,"ACK:ECE:FIN:PSH:SYN"
92,"ACK:ECE:PSH:RST"
93,"ACK:ECE:FIN:PSH:RST"
94,"ACK:ECE:PSH:RST:SYN"
95,"ACK:ECE:FIN:PSH:RST:SYN"
96,"ECE:URG"
97,"ECE:FIN:URG"
98,"ECE:SYN:URG"
99,"ECE:FIN:SYN:URG"
100,"ECE:RST:URG"
101,"ECE:FIN:RST:URG"
102,"ECE:RST:SYN:URG"
103,"ECE:FIN:RST:SYN:URG"
104,"ECE:PSH:URG"
105,"ECE:FIN:PSH:URG"
106,"ECE:PSH:SYN:URG"
107,"ECE:FIN:PSH:SYN:URG"
108,"ECE:PSH:RST:URG"
109,"ECE:FIN:PSH:RST:URG"
110,"ECE:PSH:RST:SYN:URG"
111,"ECE:FIN:PSH:RST:SYN:URG"
112,"ACK:ECE:URG"
113,"ACK:ECE:FIN:URG"
114,"ACK:ECE:SYN:URG"
115,"ACK:ECE:FIN:SYN:URG"
116,"ACK:ECE:RST:URG"
117,"ACK:ECE:FIN:RST:URG"
118,"ACK:ECE:RST:SYN:URG"
119,"ACK:ECE:FIN:RST:SYN:URG"
120,"ACK:ECE:PSH:URG"
121,"ACK:ECE:FIN:PSH:URG"
122,"ACK:ECE:PSH:SYN:URG"
123,"ACK:ECE:FIN:PSH:SYN:URG"
124,"ACK:ECE:PSH:RST:URG"
125,"ACK:ECE:FIN:PSH:RST:URG"
126,"ACK:ECE:PSH:RST:SYN:URG"
127,"ACK:ECE:FIN:PSH:RST:SYN:URG"
128,"CWR"
129,"CWR:FIN"
130,"CWR:SYN"
131,"CWR:FIN:SYN"
132,"CWR:RST"
133,"CWR:FIN:RST"
134,"CWR:RST:SYN"
135,"CWR:FIN:RST:SYN"
136,"CWR:PSH"
137,"CWR:FIN:PSH"
138,"CWR:PSH:SYN"
139,"CWR:FIN:PSH:SYN"
140,"CWR:PSH:RST"
141,"CWR:FIN:PSH:RST"
142,"CWR:PSH:RST:SYN"
143,"CWR:FIN:PSH:RST:SYN"
144,"ACK:CWR"
145,"ACK:CWR:FIN"
146,"ACK:CWR:SYN"
147,"ACK:CWR:FIN:SYN"
148,"ACK:CWR:RST"
149,"ACK:CWR:FIN:RST"
150,"ACK:CWR:RST:SYN"
151,"ACK:CWR:FIN:RST:SYN"
152,"ACK:CWR:PSH"
153,"ACK:CWR:FIN:PSH"
154,"ACK:CWR:PSH:SYN"
155,"ACK:CWR:FIN:PSH:SYN"
156,"ACK:CWR:PSH:RST"
157,"ACK:CWR:FIN:PSH:RST"
158,"ACK:CWR:PSH:RST:SYN"
159,"ACK:CWR:FIN:PSH:RST:SYN"
160,"CWR:URG"
161,"CWR:FIN:URG"
162,"CWR:SYN:URG"
163,"CWR:FIN:SYN:URG"
164,"CWR:RST:URG"
165,"CWR:FIN:RST:URG"
166,"CWR:RST:SYN:URG"
167,"CWR:FIN:RST:SYN:URG"
168,"CWR:PSH:URG"
169,"CWR:FIN:PSH:URG"
170,"CWR:PSH:SYN:URG"
171,"CWR:FIN:PSH:SYN:URG"
172,"CWR:PSH:RST:URG"
173,"CWR:FIN:PSH:RST:URG"
174,"CWR:PSH:RST:SYN:URG"
175,"CWR:FIN:PSH:RST:SYN:URG"
176,"ACK:CWR:URG"
177,"ACK:CWR:FIN:URG"
178,"ACK:CWR:SYN:URG"
179,"ACK:CWR:FIN:SYN:URG"
180,"ACK:CWR:RST:URG"
181,"ACK:CWR:FIN:RST:URG"
182,"ACK:CWR:RST:SYN:URG"
183,"ACK:CWR:FIN:RST:SYN:URG"
184,"ACK:CWR:PSH:URG"
185,"ACK:CWR:FIN:PSH:URG"
186,"ACK:CWR:PSH:SYN:URG"
187,"ACK:CWR:FIN:PSH:SYN:URG"
188,"ACK:CWR:PSH:RST:URG"
189,"ACK:CWR:FIN:PSH:RST:URG"
190,"ACK:CWR:PSH:RST:SYN:URG"
191,"ACK:CWR:FIN:PSH:RST:SYN:URG"
192,"CWR:ECE"
193,"CWR:ECE:FIN"
194,"CWR:ECE:SYN"
195,"CWR:ECE:FIN:SYN"
196,"CWR:ECE:RST"
197,"CWR:ECE:FIN:RST"
198,"CWR:ECE:RST:SYN"
199,"CWR:ECE:FIN:RST:SYN"
200,"CWR:ECE:PSH"
201,"CWR:ECE:FIN:PSH"
202,"CWR:ECE:PSH:SYN"
203,"CWR:ECE:FIN:PSH:SYN"
204,"CWR:ECE:PSH:RST"
205,"CWR:ECE:FIN:PSH:RST"
206,"CWR:ECE:PSH:RST:SYN"
207,"CWR:ECE:FIN:PSH:RST:SYN"
208,"ACK:CWR:ECE"
209,"ACK:CWR:ECE:FIN"
210,"ACK:CWR:ECE:SYN"
211,"ACK:CWR:ECE:FIN:SYN"
212,"ACK:CWR:ECE:RST"
213,"ACK:CWR:ECE:FIN:RST"
214,"ACK:CWR:ECE:RST:SYN"
