"port","service"
1,tcpmux
2,compressnet
3,compressnet
4,unknown
5,rje
6,unknown
7,echo
8,unknown
9,discard
10,unknown
11,systat
12,unknown
13,daytime
14,unknown
15,netstat
16,unknown
17,qotd
18,msp
19,chargen
20,ftp-data
21,ftp
22,ssh
23,telnet
24,priv-mail
25,smtp
26,rsftp
27,nsw-fe
28,unknown
29,msg-icp
30,unknown
31,msg-auth
32,unknown
33,dsp
34,unknown
35,priv-print
37,time
38,rap
39,rlp
40,unknown
41,graphics
42,nameserver
43,whois
44,mpm-flags
45,mpm
46,mpm-snd
47,ni-ftp
48,auditd
49,tacacs
50,re-mail-ck
51,la-maint
52,xns-time
53,domain
54,xns-ch
55,isi-gl
56,xns-auth
57,priv-term
58,xns-mail
59,priv-file
60,unknown
61,ni-mail
62,acas
63,via-ftp
64,covia
65,tacacs-ds
66,sqlnet
67,dhcps
68,dhcpc
69,tftp
70,gopher
71,netrjs-1
72,netrjs-2
73,netrjs-3
74,netrjs-4
75,priv-dial
76,deos
77,priv-rje
78,vettcp
79,finger
80,http
81,hosts2-ns
82,xfer
83,mit-ml-dev
84,ctf
85,mit-ml-dev
86,mfcobol
87,priv-term-l
88,kerberos-sec
89,su-mit-tg
90,dnsix
91,mit-dov
92,npp
93,dcp
94,objcall
95,supdup
96,dixie
97,swift-rvf
98,linuxconf
99,metagram
100,newacct
101,hostname
102,iso-tsap
103,gppitnp
104,acr-nema
105,csnet-ns
106,3com-tsmux
107,rtelnet
108,snagas
109,pop2
110,pop3
111,rpcbind
112,mcidas
113,auth
114,audionews
115,sftp
116,ansanotify
117,uucp-path
118,sqlserv
119,nntp
120,cfdptkt
121,erpc
122,smakynet
123,ntp
124,ansatrader
125,locus-map
126,unitary
127,locus-con
128,gss-xlicen
129,pwdgen
130,cisco-fna
131,cisco-tna
132,cisco-sys
133,statsrv
134,ingres-net
135,msrpc
136,profile
137,netbios-ns
138,netbios-dgm
139,netbios-ssn
140,emfis-data
141,emfis-cntl
142,bl-idm
143,imap
144,news
145,uaac
146,iso-tp0
147,iso-ip
148,cronus
149,aed-512
150,sql-net
151,hems
152,bftp
153,sgmp
154,netsc-prod
155,netsc-dev
156,sqlsrv
157,knet-cmp
158,pcmail-srv
159,nss-routing
160,sgmp-traps
161,snmp
162,snmptrap
163,cmip-man
164,cmip-agent
165,xns-courier
166,s-net
167,namp
168,rsvd
169,send
170,print-srv
171,multiplex
172,cl-1
173,xyplex-mux
174,mailq
175,vmnet
176,genrad-mux
177,xdmcp
178,nextstep
179,bgp
180,ris
181,unify
182,audit
183,ocbinder
184,ocserver
185,remote-kis
186,kis
187,aci
188,mumps
189,qft
190,cacp
191,prospero
192,osu-nms
193,srmp
194,irc
195,dn6-nlm-aud
196,dn6-smm-red
197,dls
198,dls-mon
199,smux
200,src
201,at-rtmp
202,at-nbp
203,at-3
204,at-echo
205,at-5
206,at-zis
207,at-7
208,at-8
209,tam
210,z39.50
211,914c-g
212,anet
213,ipx
214,vmpwscs
215,softpc
216,atls
217,dbase
218,mpp
219,uarps
220,imap3
221,fln-spx
222,rsh-spx
223,cdc
224,masqdialer
225,unknown
226,unknown
228,unknown
229,unknown
230,unknown
231,unknown
233,unknown
234,unknown
235,unknown
236,unknown
237,unknown
238,unknown
239,unknown
242,direct
243,sur-meas
244,dayna
245,link
246,dsp3270
247,subntbcst_tftp
248,bhfhs
249,unknown
250,unknown
251,unknown
252,unknown
253,unknown
254,unknown
255,unknown
256,fw1-secureremote
257,fw1-mc-fwmodule
258,fw1-mc-gui
259,esro-gen
260,openport
261,nsiiops
262,arcisdms
263,hdap
264,bgmp
265,maybe-fw1
266,sst
267,td-service
268,td-replica
269,manet
270,gist
271,pt-tls
273,unknown
276,unknown
277,unknown
280,http-mgmt
281,personal-link
282,cableport-ax
283,rescap
284,corerjd
286,fxp
287,k-block
288,unknown
289,unknown
293,unknown
294,unknown
295,unknown
300,unknown
301,unknown
303,unknown
304,unknown
305,unknown
306,unknown
307,unknown
308,novastorbakcup
309,entrusttime
310,bhmds
311,asip-webadmin
312,vslmp
313,magenta-logic
314,opalis-robot
315,dpsi
316,decauth
317,zannet
318,pkix-timestamp
319,ptp-event
320,ptp-general
321,pip
322,rtsps
323,rpki-rtr
324,rpki-rtr-tls
325,unknown
326,unknown
329,unknown
333,texar
334,unknown
336,unknown
337,unknown
340,unknown
343,unknown
344,pdap
345,pawserv
346,zserv
347,fatserv
348,csi-sgwp
349,mftp
350,matip-type-a
351,matip-type-b
352,dtag-ste-sb
353,ndsauth
354,bh611
355,datex-asn
356,cloanto-net-1
357,bhevent
358,shrinkwrap
359,tenebris_nts
360,scoi2odialog
361,semantix
362,srssend
363,rsvp_tunnel
364,aurora-cmgr
365,dtk
366,odmr
367,mortgageware
368,qbikgdp
369,rpc2portmap
370,codaauth2
371,clearcase
372,ulistserv
373,legent-1
374,legent-2
375,hassle
376,nip
377,tnETOS
378,dsETOS
379,is99c
380,is99s
381,hp-collector
382,hp-managed-node
383,hp-alarm-mgr
384,arns
385,ibm-app
386,asa
387,aurp
388,unidata-ldm
389,ldap
390,uis
391,synotics-relay
392,synotics-broker
393,dis
394,embl-ndt
395,netcp
396,netware-ip
397,mptn
398,kryptolan
399,iso-tsap-c2
400,work-sol
401,ups
402,genie
403,decap
404,nced
405,ncld
406,imsp
407,timbuktu
408,prm-sm
409,prm-nm
410,decladebug
411,rmt
412,synoptics-trap
413,smsp
414,infoseek
415,bnet
416,silverplatter
417,onmux
418,hyper-g
419,ariel1
420,smpte
421,ariel2
422,ariel3
423,opc-job-start
424,opc-job-track
425,icad-el
426,smartsdp
427,svrloc
428,ocs_cmu
429,ocs_amu
430,utmpsd
431,utmpcd
432,iasd
433,nnsp
434,mobileip-agent
435,mobilip-mn
436,dna-cml
437,comscm
438,dsfgw
439,dasp
440,sgcp
441,decvms-sysmgt
442,cvc_hostd
443,https
444,snpp
445,microsoft-ds
446,ddm-rdb
447,ddm-dfm
448,ddm-ssl
449,as-servermap
450,tserver
451,sfs-smp-net
452,sfs-config
453,creativeserver
454,contentserver
455,creativepartnr
456,macon
457,scohelp
458,appleqtc
459,ampr-rcmd
460,skronk
461,datasurfsrv
462,datasurfsrvsec
463,alpes
464,kpasswd5
465,smtps
466,digital-vrc
467,mylex-mapd
468,photuris
469,rcp
470,scx-proxy
471,mondex
472,ljk-login
473,hybrid-pop
474,tn-tl-w1
475,tcpnethaspsrv
476,tn-tl-fd1
477,ss7ns
478,spsc
479,iafserver
480,iafdbase
481,dvs
482,bgs-nsi
483,ulpnet
484,integra-sme
485,powerburst
486,avian
487,saft
488,gss-http
489,nest-protocol
490,micom-pfs
491,go-login
492,ticf-1
493,ticf-2
494,pov-ray
495,intecourier
496,pim-rp-disc
497,retrospect
498,siam
499,iso-ill
500,isakmp
501,stmf
502,mbap
503,intrinsa
504,citadel
505,mailbox-lm
506,ohimsrv
507,crs
508,xvttp
509,snare
510,fcp
511,passgo
512,biff
513,login
514,shell
515,printer
516,videotex
517,talk
518,ntalk
519,utime
520,efs
521,ripng
522,ulp
523,ibm-db2
524,ncp
525,timed
526,tempo
527,stx
528,custix
529,irc
530,courier
531,conference
532,netnews
533,netwall
534,mm-admin
535,iiop
536,opalis-rdv
537,nmsp
538,gdomap
539,apertus-ldp
540,uucp
541,uucp-rlogin
542,commerce
543,klogin
544,kshell
545,appleqtcsrvr
